Parent SKU,Child SKU,Title,Price,Description,Weight Value,Weight Unit,Length,Width,Height,Unit,Images [ ],Attribute 1 Name,Attribute 1 Value,Attribute 2 Name,Attribute 2 Value,Attribute 3 Name,Attribute 3 Value,Attribute 4 Name,Attribute 4 Value,Attribute 5 Name,Attribute 5 Value,Attribute 6 Name,Attribute 6 Value,Attribute 7 Name,Attribute 7 Value
11020001,,Mini İsim ve Haç Bileklik,"8,5","Doğum Taşlı Mini İsim ve Haç Bileklik, yüksek kaliteli gümüş malzemeden yapılmış zarif bir takıdır. Gümüşün doğal parlaklığı, bilekliğin zarafetini ve cazibesini vurgular. Farklı boyut ve tasarım seçenekleri sunan bileklik, kişisel tarzınıza ve tercihlerinize göre seçilebilir. Gümüş Haç Bileklik, kendinizi ya da sevdiklerinizi şımartmak için anlamlı bir hediye seçeneği olarak öne çıkıyor.",1,oz,8,6,1,in,https://drive.google.com/open?id=17sV0WZ-7SR_knOnKvIVhDFDHbHm_H9Js&usp=drive_fs,Materyal,[Gümüş],Uç Seçeneği,[Sadece İsim;İsim ve Haç],Zincir Tipi,[30 Forse Zincir],Taş Tipi,[Tek Halka Yuvarlak 3.00;Taş Yok / Hazır Ürün],Taş Adedi,[1;Taş Yok],Zincir Boyu,[14 Inches;16 Inches;18 Inches;20 Inches;22 Inches;24 Inches],Renk,"[Silver, Gold, Rose Gold]"
11020001,1102000100101020101000,,"8,5",,,,,,,,,Materyal,Gümüş,Uç Seçeneği,Sadece İsim,Zincir Tipi,30 Forse Zincir,Taş Tipi,Tek Halka Yuvarlak 3.00,Taş Adedi,1,,,,
11020001,1102000100101020000000,,"8,5",,,,,,,,,Materyal,Gümüş,Uç Seçeneği,Sadece İsim,Zincir Tipi,30 Forse Zincir,Taş Tipi,Taş Yok / Hazır Ürün,Taş Adedi,Taş Yok,,,,
11020001,1102000100102020101000,,10,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,İsim ve Haç,Zincir Tipi,30 Forse Zincir,Taş Tipi,Tek Halka Yuvarlak 3.00,Taş Adedi,1,,,,
11020001,1102000100102020000000,,10,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,İsim ve Haç,Zincir Tipi,30 Forse Zincir,Taş Tipi,Taş Yok / Hazır Ürün,Taş Adedi,Taş Yok,,,,
