Parent SKU,Child SKU,Title,Price,Description,Weight Value,Weight Unit,Length,Width,Height,Unit,Images [ ],Attribute 1 Name,Attribute 1 Value,Attribute 2 Name,Attribute 2 Value,Attribute 3 Name,Attribute 3 Value,Attribute 4 Name,Attribute 4 Value,Attribute 5 Name,Attribute 5 Value,Attribute 6 Name,Attribute 6 Value,Attribute 7 Name,Attribute 7 Value
12020008,1202000800101170301000015103,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"7""+1.5""",Color,Gold
12020008,1202000800101170301000015001,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"7""",Color,Silver
12020008,1202000800101170301000015002,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"7""",Color,Rose
12020008,1202000800101170301000015003,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"7""",Color,Gold
12020008,1202000800101170301000017101,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"8""+1.5""",Color,Silver
12020008,1202000800101170301000017102,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"8""+1.5""",Color,Rose
12020008,1202000800101170301000017103,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"8""+1.5""",Color,Gold
12020008,1202000800101170301000017001,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"8""",Color,Silver
12020008,1202000800101170301000017002,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"8""",Color,Rose
12020008,1202000800101170301000017003,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"8""",Color,Gold
12020008,1202000800101170301000019101,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"9""+1.5""",Color,Silver
12020008,1202000800101170301000019102,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"9""+1.5""",Color,Rose
12020008,1202000800101170301000019103,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"9""+1.5""",Color,Gold
12020008,1202000800101170301000019001,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"9""",Color,Silver
12020008,1202000800101170301000019002,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"9""",Color,Rose
12020008,1202000800101170301000019003,,7.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,1,Size,"9""",Color,Gold
12020008,1202000800101170302000009101,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"4""+1.5""",Color,Silver
12020008,1202000800101170302000009102,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"4""+1.5""",Color,Rose
12020008,1202000800101170302000009103,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"4""+1.5""",Color,Gold
12020008,1202000800101170302000009001,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"4""",Color,Silver
12020008,1202000800101170302000009002,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"4""",Color,Rose
12020008,1202000800101170302000009003,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"4""",Color,Gold
12020008,1202000800101170302000011101,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"5""+1.5""",Color,Silver
12020008,1202000800101170302000011102,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"5""+1.5""",Color,Rose
12020008,1202000800101170302000011103,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"5""+1.5""",Color,Gold
12020008,1202000800101170302000011001,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"5""",Color,Silver
12020008,1202000800101170302000011002,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"5""",Color,Rose
12020008,1202000800101170302000011003,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"5""",Color,Gold
12020008,1202000800101170302000013101,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"6""+1.5""",Color,Silver
12020008,1202000800101170302000013102,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"6""+1.5""",Color,Rose
12020008,1202000800101170302000013103,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"6""+1.5""",Color,Gold
12020008,1202000800101170302000013001,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"6""",Color,Silver
12020008,1202000800101170302000013002,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"6""",Color,Rose
12020008,1202000800101170302000013003,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"6""",Color,Gold
12020008,1202000800101170302000015101,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"7""+1.5""",Color,Silver
12020008,1202000800101170302000015102,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"7""+1.5""",Color,Rose
12020008,1202000800101170302000015103,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"7""+1.5""",Color,Gold
12020008,1202000800101170302000015001,,9.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,2,Size,"7""",Color,Silver
